id,date,season,week,attendance,stadiumId,gameDuration,roofType
20181223LARARI,2018-12-23T16:05:00,2018,Week 16,61759,State Farm Stadium,2:57:00,closed
20181223PITNOR,2018-12-23T16:25:00,2018,Week 16,73086,Mercedes-Benz Superdome,3:24:00,
20181223KANSEA,2018-12-23T20:20:00,2018,Week 16,69067,CenturyLink Field,3:21:00,
20181224DENOAK,2018-12-24T20:15:00,2018,Week 16,53850,Oakland-Alameda County Coliseum,3:00:00,
20181230ATLTAM,2018-12-30T13:00:00,2018,Week 17,52884,Raymond James Stadium,3:08:00,
20181230MIABUF,2018-12-30T13:00:00,2018,Week 17,67420,New Era Field,3:02:00,
20181230CARNOR,2018-12-30T13:00:00,2018,Week 17,73028,Mercedes-Benz Superdome,3:00:00,
20181230DALNYG,2018-12-30T13:00:00,2018,Week 17,77750,MetLife Stadium,3:11:00,
20181230DETGNB,2018-12-30T13:00:00,2018,Week 17,77341,Lambeau Field,2:45:00,
20181230JAXHOU,2018-12-30T13:00:00,2018,Week 17,71848,NRG Stadium,2:53:00,closed
20181230NYJNWE,2018-12-30T13:00:00,2018,Week 17,65878,Gillette Stadium,2:56:00,
20181230CHIMIN,2018-12-30T16:25:00,2018,Week 17,66878,U.S. Bank Stadium,2:58:00,
20181230CINPIT,2018-12-30T16:25:00,2018,Week 17,63874,Heinz Field,3:00:00,
20181230CLEBAL,2018-12-30T16:25:00,2018,Week 17,70925,M&T Bank Stadium,3:15:00,
20181230ARISEA,2018-12-30T16:25:00,2018,Week 17,68990,CenturyLink Field,3:03:00,
20181230LACDEN,2018-12-30T16:25:00,2018,Week 17,75947,Sports Authority Field at Mile High,3:03:00,
20181230OAKKAN,2018-12-30T16:25:00,2018,Week 17,77550,Arrowhead Stadium,2:37:00,
20181230PHIWAS,2018-12-30T16:25:00,2018,Week 17,63188,FedExField,2:38:00,
20181230SFOLAR,2018-12-30T16:25:00,2018,Week 17,72161,Los Angeles Memorial Coliseum,3:15:00,
20181230INDTEN,2018-12-30T20:20:00,2018,Week 17,68978,Nissan Stadium,3:04:00,
20190105INDHOU,2019-01-05T16:35:00,2018,Playoffs,71798,NRG Stadium,2:58:00,closed
20190105SEADAL,2019-01-05T20:15:00,2018,Playoffs,94327,AT&T Stadium,3:11:00,closed
20190106LACBAL,2019-01-06T13:05:00,2018,Playoffs,70432,M&T Bank Stadium,3:17:00,
20190106PHICHI,2019-01-06T16:40:00,2018,Playoffs,62462,Soldier Field,3:09:00,
20190112INDKAN,2019-01-12T16:35:00,2018,Playoffs,76765,Arrowhead Stadium,3:08:00,
20190112DALLAR,2019-01-12T20:15:00,2018,Playoffs,77187,Los Angeles Memorial Coliseum,3:01:00,
20190113LACNWE,2019-01-13T13:05:00,2018,Playoffs,65878,Gillette Stadium,3:32:00,
20190113PHINOR,2019-01-13T16:40:00,2018,Playoffs,73027,Mercedes-Benz Superdome,3:06:00,
20190120LARNOR,2019-01-20T15:05:00,2018,Playoffs,73028,Mercedes-Benz Superdome,3:18:00,
20190120NWEKAN,2019-01-20T18:40:00,2018,Playoffs,77034,Arrowhead Stadium,3:32:00,
20190203LARNWE,2019-02-03T18:30:00,2018,Playoffs,70081,Mercedes-Benz Stadium,3:32:00,closed
20190905GNBCHI,2019-09-05T20:20:00,2019,Week 1,62435,Soldier Field,3:07:00,
20190908ATLMIN,2019-09-08T13:00:00,2019,Week 1,66714,U.S. Bank Stadium,3:07:00,
20190908BUFNYJ,2019-09-08T13:00:00,2019,Week 1,78523,MetLife Stadium,3:09:00,
20190908LARCAR,2019-09-08T13:00:00,2019,Week 1,72005,Bank of America Stadium,3:12:00,
20190908TENCLE,2019-09-08T13:00:00,2019,Week 1,67431,FirstEnergy Stadium,3:12:00,
